code_str,labels
"r = 0
if(r <= 3) {
    g = 1
}
else if(r >= 2) {
    h = 2
}
else if(r >= 0) {
    f = 1
}
else {
    z = 3
}
for(int i=0; i<2; i++) {
    r = 5
}
f = 4
if(f == 5) {
    h = 3
}
else if(f <= 4) {
    d = 4
}
else if(f <= 0) {
    e = 3
}
else {
    a = 3
}
for(int i=0; i<2; i++) {
    c = 5
}
END","[1, 0, 1, 1, 0, 1, 0, 1]"
"s = 2
t = 2
for(int i=0; i<2; i++) {
    b = 3
}
l = 4
if(l <= 2) {
    g = 5
}
else if(l >= 2) {
    d = 5
}
else if(l <= 0) {
    d = 5
}
h = 0
for(int i=0; i<2; i++) {
    z = 3
}
END","[1, 0, 1, 0, 1]"
"p = 4
k = 2
a = 4
v = 4
k = 3
p = 4
x = 3
END",[]
"for(int i=0; i<1; i++) {
    h = 3
}
for(int i=0; i<1; i++) {
    x = 3
}
for(int i=0; i<1; i++) {
    x = 2
}
n = 2
for(int i=0; i<0; i++) {
    x = 4
}
x = 4
END","[1, 1, 1, 0]"
"e = 0
if(e <= 2) {
    t = 3
}
else if(e <= 2) {
    t = 4
}
l = 1
for(int i=0; i<1; i++) {
    m = 2
}
END","[1, 1, 1]"
"for(int i=0; i<1; i++) {
    p = 3
}
d = 1
u = 0
if(u < 0) {
    a = 5
}
else {
    h = 1
}
j = 5
for(int i=0; i<1; i++) {
    z = 2
}
g = 2
a = 3
if(a <= 3) {
    d = 0
}
else if(a > 1) {
    b = 5
}
else if(a == 2) {
    e = 1
}
END","[1, 0, 1, 1, 1, 0]"
"y = 4
if(y == 3) {
    j = 2
}
else if(y < 4) {
    b = 0
}
else if(y < 5) {
    n = 3
}
m = 0
f = 5
END","[0, 0, 1]"
"a = 4
if(a <= 0) {
    y = 4
}
else if(a > 4) {
    r = 4
}
else {
    x = 2
}
for(int i=0; i<3; i++) {
    d = 2
}
o = 3
i = 0
if(i == 5) {
    w = 5
}
x = 0
v = 2
if(v == 3) {
    a = 0
}
else if(v > 5) {
    r = 2
}
else {
    b = 2
}
END","[0, 0, 1, 0, 0, 0]"
"a = 4
if(a == 5) {
    y = 0
}
else if(a <= 1) {
    r = 5
}
else if(a > 4) {
    u = 0
}
else {
    m = 1
}
o = 0
for(int i=0; i<0; i++) {
    n = 3
}
END","[0, 0, 0, 0]"
"for(int i=0; i<0; i++) {
    f = 0
}
q = 2
if(q < 5) {
    f = 3
}
else if(q == 5) {
    j = 5
}
for(int i=0; i<1; i++) {
    z = 2
}
END","[0, 1, 0, 1]"
"z = 5
if(z > 3) {
    k = 1
}
else if(z < 2) {
    h = 3
}
else if(z >= 1) {
    l = 2
}
l = 2
h = 0
END","[1, 0, 1]"
"v = 4
if(v == 4) {
    x = 1
}
else if(v <= 4) {
    b = 3
}
b = 4
if(b > 4) {
    p = 0
}
else if(b == 1) {
    r = 4
}
else {
    x = 0
}
a = 0
c = 4
q = 3
if(q < 2) {
    n = 4
}
j = 0
s = 4
END","[1, 1, 0, 0, 0]"
"for(int i=0; i<1; i++) {
    h = 5
}
for(int i=0; i<0; i++) {
    y = 3
}
for(int i=0; i<2; i++) {
    q = 1
}
e = 4
for(int i=0; i<3; i++) {
    v = 4
}
v = 3
e = 1
END","[1, 0, 1, 1]"
"for(int i=0; i<2; i++) {
    t = 5
}
f = 0
i = 3
for(int i=0; i<2; i++) {
    l = 0
}
for(int i=0; i<3; i++) {
    e = 3
}
for(int i=0; i<1; i++) {
    n = 3
}
END","[1, 1, 1, 1]"
"x = 3
if(x == 4) {
    d = 0
}
else if(x <= 2) {
    m = 0
}
p = 1
if(p > 5) {
    y = 5
}
else {
    s = 4
}
w = 4
if(w > 0) {
    l = 4
}
else if(w < 0) {
    x = 5
}
else {
    p = 1
}
END","[0, 0, 0, 1, 0]"
"k = 3
j = 3
if(j > 2) {
    j = 3
}
else if(j < 5) {
    o = 4
}
else if(j <= 1) {
    q = 4
}
else {
    q = 5
}
e = 2
if(e >= 3) {
    q = 4
}
END","[1, 1, 0, 0]"
"for(int i=0; i<2; i++) {
    t = 1
}
i = 2
u = 5
c = 5
if(c <= 0) {
    w = 1
}
l = 5
if(l <= 2) {
    e = 3
}
else if(l < 5) {
    o = 1
}
y = 2
END","[1, 0, 0, 0]"
"j = 1
h = 4
a = 3
if(a >= 2) {
    h = 0
}
else if(a < 3) {
    m = 5
}
k = 4
t = 0
y = 0
if(y <= 3) {
    o = 5
}
else if(y <= 3) {
    r = 3
}
END","[1, 0, 1, 1]"
"s = 1
if(s < 4) {
    g = 2
}
u = 2
j = 4
for(int i=0; i<1; i++) {
    c = 2
}
END","[1, 1]"
"e = 2
if(e == 0) {
    q = 2
}
else {
    q = 1
}
for(int i=0; i<3; i++) {
    w = 4
}
v = 1
if(v > 2) {
    l = 0
}
else if(v == 4) {
    f = 4
}
END","[0, 1, 0, 0]"
"k = 3
b = 0
d = 2
if(d > 2) {
    l = 4
}
else if(d < 0) {
    b = 0
}
else if(d <= 2) {
    r = 1
}
else {
    e = 1
}
for(int i=0; i<2; i++) {
    t = 1
}
g = 1
if(g >= 2) {
    d = 0
}
else if(g < 4) {
    w = 3
}
o = 2
x = 3
END","[0, 0, 1, 1, 0, 1]"
"g = 2
for(int i=0; i<0; i++) {
    s = 2
}
n = 3
END",[0]
"t = 2
if(t > 5) {
    m = 4
}
else if(t >= 4) {
    l = 0
}
else if(t >= 0) {
    b = 0
}
c = 2
z = 1
z = 2
f = 0
if(f > 0) {
    g = 2
}
else if(f >= 1) {
    t = 3
}
else {
    j = 2
}
END","[0, 0, 1, 0, 0]"
"r = 2
if(r >= 3) {
    q = 3
}
else if(r <= 1) {
    o = 5
}
else {
    f = 3
}
g = 1
if(g > 5) {
    i = 4
}
else {
    u = 4
}
n = 0
if(n > 1) {
    w = 1
}
else if(n >= 0) {
    e = 5
}
else {
    l = 3
}
for(int i=0; i<0; i++) {
    v = 1
}
x = 1
if(x == 5) {
    o = 3
}
else if(x > 5) {
    b = 2
}
END","[0, 0, 0, 0, 1, 0, 0, 0]"
"g = 1
if(g <= 0) {
    r = 2
}
else if(g > 2) {
    s = 1
}
else {
    x = 3
}
o = 4
for(int i=0; i<0; i++) {
    v = 2
}
y = 4
s = 5
if(s < 4) {
    l = 0
}
else {
    o = 3
}
a = 5
END","[0, 0, 0, 0]"
"a = 0
if(a == 5) {
    f = 5
}
g = 5
for(int i=0; i<3; i++) {
    l = 1
}
END","[0, 1]"
"b = 4
if(b > 1) {
    r = 3
}
else if(b >= 1) {
    e = 3
}
else {
    d = 4
}
w = 4
if(w == 2) {
    d = 3
}
else if(w == 5) {
    g = 5
}
else if(w == 0) {
    s = 4
}
else {
    c = 3
}
o = 1
if(o > 3) {
    u = 3
}
else if(o < 2) {
    g = 1
}
else {
    g = 4
}
k = 5
d = 2
if(d <= 1) {
    f = 0
}
else if(d == 3) {
    e = 4
}
else if(d == 0) {
    w = 2
}
else {
    i = 5
}
x = 3
if(x <= 1) {
    t = 3
}
else if(x > 2) {
    t = 1
}
else if(x > 1) {
    s = 3
}
else {
    r = 5
}
END","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
"for(int i=0; i<2; i++) {
    r = 3
}
e = 3
a = 4
g = 5
u = 4
END",[1]
"i = 4
if(i == 4) {
    e = 4
}
else if(i <= 4) {
    p = 0
}
r = 1
u = 2
if(u <= 0) {
    e = 5
}
else if(u > 2) {
    q = 0
}
x = 2
if(x == 4) {
    m = 0
}
else if(x >= 3) {
    j = 5
}
else if(x >= 1) {
    s = 0
}
else {
    z = 3
}
END","[1, 1, 0, 0, 0, 0, 1]"
"for(int i=0; i<0; i++) {
    q = 1
}
u = 2
l = 0
l = 0
e = 2
h = 0
if(h == 1) {
    f = 3
}
else if(h <= 1) {
    x = 0
}
o = 2
END","[0, 0, 1]"
"for(int i=0; i<0; i++) {
    j = 0
}
u = 0
r = 3
g = 3
if(g < 1) {
    t = 0
}
for(int i=0; i<0; i++) {
    t = 0
}
b = 2
END","[0, 0, 0]"
"s = 2
u = 2
i = 1
for(int i=0; i<1; i++) {
    b = 5
}
END",[1]
"r = 2
for(int i=0; i<1; i++) {
    b = 4
}
for(int i=0; i<2; i++) {
    j = 5
}
p = 4
n = 1
p = 5
if(p >= 3) {
    h = 0
}
else if(p <= 3) {
    d = 5
}
else if(p == 3) {
    n = 3
}
END","[1, 1, 1, 0, 0]"
"o = 1
n = 4
if(n == 3) {
    i = 2
}
else if(n > 4) {
    m = 2
}
else if(n <= 0) {
    r = 4
}
else {
    p = 4
}
j = 0
if(j == 1) {
    v = 1
}
else {
    l = 4
}
b = 0
END","[0, 0, 0, 0]"
"for(int i=0; i<0; i++) {
    x = 0
}
for(int i=0; i<0; i++) {
    n = 4
}
i = 5
if(i == 3) {
    j = 5
}
else if(i >= 5) {
    q = 2
}
else {
    w = 4
}
e = 0
if(e >= 4) {
    g = 1
}
else if(e <= 4) {
    p = 1
}
else {
    k = 2
}
g = 2
for(int i=0; i<0; i++) {
    h = 2
}
END","[0, 0, 0, 1, 0, 1, 0]"
"for(int i=0; i<3; i++) {
    l = 3
}
n = 5
o = 1
d = 3
if(d == 1) {
    g = 4
}
else if(d > 0) {
    w = 3
}
else if(d >= 0) {
    w = 3
}
else {
    q = 4
}
END","[1, 0, 1, 1]"
"for(int i=0; i<2; i++) {
    c = 3
}
c = 2
if(c == 2) {
    h = 2
}
h = 1
if(h <= 1) {
    r = 4
}
else if(h > 5) {
    t = 2
}
e = 3
if(e < 1) {
    v = 4
}
else if(e == 1) {
    n = 5
}
else {
    t = 4
}
for(int i=0; i<3; i++) {
    m = 0
}
q = 4
z = 4
if(z == 2) {
    v = 3
}
else if(z == 2) {
    r = 4
}
else if(z == 5) {
    a = 4
}
else {
    d = 1
}
END","[1, 1, 1, 0, 0, 0, 1, 0, 0, 0]"
"r = 1
u = 5
for(int i=0; i<2; i++) {
    c = 2
}
for(int i=0; i<0; i++) {
    n = 3
}
f = 2
for(int i=0; i<3; i++) {
    x = 0
}
END","[1, 0, 1]"
"c = 5
if(c == 2) {
    a = 0
}
else {
    h = 4
}
r = 5
if(r > 0) {
    g = 0
}
else if(r >= 4) {
    l = 1
}
else if(r < 3) {
    t = 5
}
else {
    j = 4
}
for(int i=0; i<0; i++) {
    r = 1
}
for(int i=0; i<1; i++) {
    i = 2
}
for(int i=0; i<1; i++) {
    q = 5
}
for(int i=0; i<2; i++) {
    u = 1
}
z = 2
if(z >= 5) {
    t = 2
}
else if(z == 0) {
    b = 2
}
END","[0, 1, 1, 0, 0, 1, 1, 1, 0, 0]"
"t = 4
for(int i=0; i<0; i++) {
    h = 3
}
v = 4
if(v < 5) {
    g = 1
}
else if(v > 3) {
    x = 0
}
b = 2
if(b <= 2) {
    b = 2
}
b = 2
if(b > 1) {
    u = 2
}
else {
    y = 0
}
END","[0, 1, 1, 1, 1]"
"for(int i=0; i<1; i++) {
    a = 0
}
for(int i=0; i<0; i++) {
    m = 3
}
c = 2
if(c <= 5) {
    p = 0
}
else if(c == 2) {
    c = 4
}
END","[1, 0, 1, 1]"
"for(int i=0; i<1; i++) {
    p = 0
}
u = 1
if(u > 1) {
    u = 1
}
else if(u <= 1) {
    c = 5
}
else if(u >= 2) {
    t = 3
}
else {
    d = 1
}
v = 1
y = 1
if(y > 1) {
    b = 4
}
else if(y < 1) {
    o = 4
}
else if(y <= 5) {
    r = 1
}
else {
    l = 4
}
m = 5
END","[1, 0, 1, 0, 0, 0, 1]"
"o = 5
t = 3
m = 4
if(m > 1) {
    e = 4
}
else if(m < 2) {
    m = 1
}
else if(m == 3) {
    v = 3
}
else {
    b = 4
}
u = 1
if(u > 3) {
    i = 4
}
else if(u == 2) {
    j = 3
}
else if(u == 5) {
    f = 5
}
t = 5
END","[1, 0, 0, 0, 0, 0]"
"l = 5
h = 3
m = 1
s = 5
END",[]
"r = 2
o = 4
t = 2
y = 0
if(y >= 0) {
    m = 4
}
else if(y <= 2) {
    p = 2
}
else {
    o = 0
}
z = 3
END","[1, 1]"
"u = 3
if(u <= 4) {
    f = 0
}
else if(u > 5) {
    m = 1
}
else {
    e = 1
}
a = 0
if(a <= 2) {
    r = 4
}
else if(a == 1) {
    j = 5
}
else {
    d = 0
}
a = 3
z = 3
if(z >= 2) {
    h = 3
}
else if(z < 5) {
    j = 4
}
else {
    u = 0
}
END","[1, 0, 1, 0, 1, 1]"
"y = 3
if(y <= 5) {
    t = 3
}
for(int i=0; i<2; i++) {
    j = 1
}
for(int i=0; i<0; i++) {
    k = 3
}
i = 1
if(i >= 0) {
    r = 4
}
else if(i == 3) {
    u = 5
}
else {
    w = 5
}
for(int i=0; i<3; i++) {
    h = 5
}
n = 2
if(n > 3) {
    g = 5
}
else {
    s = 0
}
END","[1, 1, 0, 1, 0, 1, 0]"
"for(int i=0; i<0; i++) {
    q = 5
}
for(int i=0; i<3; i++) {
    w = 0
}
for(int i=0; i<1; i++) {
    j = 4
}
for(int i=0; i<1; i++) {
    a = 3
}
END","[0, 1, 1, 1]"
"p = 5
if(p < 5) {
    e = 4
}
else if(p >= 3) {
    m = 4
}
else if(p >= 4) {
    n = 0
}
else {
    m = 0
}
for(int i=0; i<0; i++) {
    e = 3
}
q = 2
if(q > 1) {
    l = 5
}
else if(q < 2) {
    g = 3
}
else if(q > 2) {
    e = 3
}
else {
    r = 4
}
s = 2
if(s <= 0) {
    a = 4
}
else if(s <= 1) {
    j = 3
}
else if(s < 5) {
    c = 3
}
else {
    j = 4
}
for(int i=0; i<3; i++) {
    u = 2
}
END","[0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1]"
"s = 5
d = 5
if(d < 1) {
    l = 3
}
q = 4
h = 1
if(h < 0) {
    v = 1
}
else {
    z = 4
}
c = 4
h = 2
if(h == 3) {
    b = 0
}
else if(h > 0) {
    c = 3
}
else {
    s = 5
}
END","[0, 0, 0, 1]"
"d = 4
p = 2
for(int i=0; i<3; i++) {
    x = 3
}
z = 1
for(int i=0; i<1; i++) {
    p = 0
}
END","[1, 1]"
"for(int i=0; i<2; i++) {
    w = 2
}
for(int i=0; i<0; i++) {
    n = 3
}
u = 2
q = 0
if(q < 3) {
    h = 0
}
else if(q >= 5) {
    r = 1
}
else {
    y = 0
}
for(int i=0; i<3; i++) {
    w = 1
}
for(int i=0; i<0; i++) {
    z = 1
}
END","[1, 0, 1, 0, 1, 0]"
"a = 5
m = 1
y = 3
for(int i=0; i<1; i++) {
    e = 1
}
w = 1
r = 3
if(r < 1) {
    j = 4
}
else if(r > 2) {
    d = 5
}
else if(r == 5) {
    f = 3
}
else {
    n = 3
}
END","[1, 0, 1, 0]"
"t = 3
g = 0
if(g >= 1) {
    c = 2
}
else if(g < 3) {
    k = 2
}
else if(g >= 5) {
    h = 4
}
else {
    e = 2
}
t = 0
if(t > 3) {
    g = 3
}
u = 2
END","[0, 1, 0, 0]"
"for(int i=0; i<3; i++) {
    c = 2
}
for(int i=0; i<0; i++) {
    n = 2
}
for(int i=0; i<1; i++) {
    y = 1
}
v = 4
if(v <= 3) {
    c = 2
}
else {
    v = 5
}
for(int i=0; i<1; i++) {
    b = 4
}
END","[1, 0, 1, 0, 1]"
"t = 1
if(t == 1) {
    j = 4
}
else if(t >= 5) {
    q = 2
}
else if(t >= 1) {
    o = 0
}
else {
    w = 2
}
for(int i=0; i<1; i++) {
    e = 3
}
for(int i=0; i<3; i++) {
    i = 4
}
for(int i=0; i<2; i++) {
    o = 4
}
o = 4
END","[1, 0, 1, 1, 1, 1]"
"r = 1
if(r == 1) {
    o = 4
}
else if(r <= 5) {
    z = 2
}
else if(r >= 0) {
    b = 0
}
else {
    j = 0
}
m = 3
j = 0
if(j == 3) {
    i = 5
}
else if(j == 4) {
    e = 0
}
END","[1, 1, 1, 0, 0]"
"e = 2
if(e > 1) {
    u = 3
}
else if(e > 5) {
    r = 3
}
else {
    b = 5
}
p = 4
if(p <= 2) {
    o = 1
}
for(int i=0; i<1; i++) {
    q = 0
}
z = 3
if(z > 0) {
    y = 0
}
else if(z > 1) {
    n = 1
}
else {
    j = 4
}
h = 3
if(h > 2) {
    f = 3
}
else if(h > 1) {
    u = 2
}
for(int i=0; i<3; i++) {
    y = 5
}
END","[1, 0, 0, 1, 1, 1, 1, 1, 1]"
"for(int i=0; i<2; i++) {
    r = 5
}
s = 2
if(s == 1) {
    d = 2
}
else if(s > 5) {
    p = 3
}
else if(s > 1) {
    y = 4
}
else {
    h = 1
}
w = 0
if(w <= 5) {
    y = 3
}
else if(w >= 4) {
    a = 4
}
else {
    t = 4
}
END","[1, 0, 0, 1, 1, 0]"
"o = 0
i = 0
if(i <= 1) {
    x = 2
}
else if(i > 1) {
    q = 3
}
else if(i > 3) {
    y = 0
}
else {
    k = 1
}
x = 0
END","[1, 0, 0]"
"e = 3
if(e == 1) {
    x = 3
}
else if(e >= 0) {
    u = 0
}
else if(e < 0) {
    t = 2
}
else {
    x = 5
}
for(int i=0; i<3; i++) {
    b = 4
}
d = 4
if(d >= 5) {
    i = 5
}
else if(d > 2) {
    y = 3
}
else {
    q = 1
}
x = 1
if(x < 0) {
    j = 5
}
else if(x < 0) {
    f = 2
}
x = 5
END","[0, 1, 0, 1, 0, 1, 0, 0]"
"for(int i=0; i<2; i++) {
    q = 0
}
w = 1
y = 3
f = 5
END",[1]
"p = 4
if(p < 0) {
    o = 5
}
else if(p >= 2) {
    h = 4
}
else if(p == 3) {
    r = 1
}
else {
    g = 3
}
j = 2
e = 1
if(e >= 0) {
    j = 0
}
else if(e <= 2) {
    c = 2
}
d = 4
if(d < 1) {
    h = 3
}
else if(d <= 0) {
    l = 0
}
e = 1
x = 2
if(x >= 5) {
    s = 5
}
else if(x < 3) {
    o = 2
}
o = 4
END","[0, 1, 0, 1, 1, 0, 0, 0, 1]"
"m = 3
t = 5
c = 0
c = 0
m = 4
if(m <= 1) {
    f = 1
}
else {
    d = 4
}
k = 1
if(k >= 1) {
    n = 3
}
else if(k == 2) {
    i = 3
}
END","[0, 1, 0]"
"for(int i=0; i<1; i++) {
    j = 2
}
j = 3
if(j <= 0) {
    o = 3
}
else {
    d = 3
}
k = 0
if(k < 5) {
    e = 1
}
else if(k >= 0) {
    n = 2
}
d = 3
END","[1, 0, 1, 1]"
"i = 0
if(i > 2) {
    q = 1
}
else {
    b = 1
}
l = 2
for(int i=0; i<0; i++) {
    f = 4
}
END","[0, 0]"
"for(int i=0; i<0; i++) {
    m = 2
}
w = 1
g = 4
d = 5
y = 2
if(y < 0) {
    j = 2
}
else {
    l = 0
}
b = 3
for(int i=0; i<0; i++) {
    w = 4
}
END","[0, 0, 0]"
"t = 5
i = 4
u = 1
if(u < 4) {
    e = 2
}
else {
    f = 4
}
d = 3
END",[1]
"a = 0
for(int i=0; i<3; i++) {
    p = 3
}
u = 4
x = 2
END",[1]
"g = 5
c = 5
if(c == 1) {
    k = 4
}
else if(c >= 5) {
    w = 5
}
else if(c > 5) {
    c = 2
}
else {
    g = 2
}
t = 2
if(t < 1) {
    m = 0
}
else if(t == 3) {
    n = 1
}
else {
    x = 0
}
a = 5
x = 1
if(x >= 0) {
    m = 1
}
else if(x > 0) {
    s = 5
}
else {
    d = 4
}
END","[0, 1, 0, 0, 0, 1, 1]"
"d = 3
for(int i=0; i<0; i++) {
    a = 0
}
for(int i=0; i<3; i++) {
    r = 0
}
d = 4
if(d <= 3) {
    h = 1
}
else if(d < 0) {
    q = 2
}
else if(d < 1) {
    t = 4
}
else {
    b = 2
}
d = 4
if(d == 2) {
    b = 4
}
else if(d > 5) {
    c = 2
}
a = 0
if(a > 4) {
    e = 4
}
else if(a <= 2) {
    c = 2
}
else if(a == 2) {
    m = 4
}
END","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
"for(int i=0; i<3; i++) {
    z = 0
}
for(int i=0; i<3; i++) {
    d = 0
}
r = 1
for(int i=0; i<2; i++) {
    c = 0
}
END","[1, 1, 1]"
"a = 1
if(a == 0) {
    b = 3
}
else if(a == 4) {
    n = 3
}
else if(a >= 3) {
    i = 1
}
w = 3
x = 1
j = 3
v = 2
if(v == 2) {
    f = 0
}
END","[0, 0, 0, 1]"
"e = 4
if(e < 3) {
    d = 5
}
else if(e == 3) {
    c = 5
}
z = 1
for(int i=0; i<3; i++) {
    r = 5
}
y = 3
m = 5
for(int i=0; i<3; i++) {
    n = 4
}
t = 3
END","[0, 0, 1, 1]"
"l = 0
for(int i=0; i<2; i++) {
    k = 1
}
s = 3
if(s >= 3) {
    f = 4
}
else {
    j = 5
}
z = 1
a = 5
END","[1, 1]"
"v = 5
v = 0
f = 2
if(f < 5) {
    u = 5
}
else {
    b = 1
}
l = 1
if(l <= 3) {
    k = 0
}
w = 4
if(w == 5) {
    t = 3
}
else if(w <= 0) {
    q = 4
}
else if(w == 2) {
    l = 4
}
else {
    c = 1
}
for(int i=0; i<3; i++) {
    d = 0
}
END","[1, 1, 0, 0, 0, 1]"
"m = 3
if(m < 5) {
    t = 0
}
else if(m >= 1) {
    c = 0
}
for(int i=0; i<2; i++) {
    k = 0
}
a = 2
for(int i=0; i<2; i++) {
    a = 1
}
p = 3
if(p <= 3) {
    f = 4
}
else if(p >= 0) {
    y = 4
}
else if(p > 2) {
    e = 5
}
else {
    u = 2
}
for(int i=0; i<3; i++) {
    d = 0
}
END","[1, 1, 1, 1, 1, 1, 1, 1]"
"a = 5
r = 4
k = 5
g = 5
f = 4
if(f > 2) {
    h = 5
}
else if(f < 2) {
    z = 5
}
else {
    b = 4
}
for(int i=0; i<1; i++) {
    u = 5
}
e = 3
END","[1, 0, 1]"
"for(int i=0; i<3; i++) {
    x = 1
}
x = 0
k = 0
e = 0
END",[1]
"for(int i=0; i<3; i++) {
    i = 0
}
for(int i=0; i<2; i++) {
    d = 4
}
t = 4
v = 0
if(v <= 5) {
    p = 3
}
for(int i=0; i<2; i++) {
    d = 3
}
c = 2
for(int i=0; i<2; i++) {
    q = 4
}
END","[1, 1, 1, 1, 1]"
"g = 4
if(g >= 0) {
    q = 4
}
else if(g > 0) {
    z = 5
}
else if(g <= 3) {
    k = 2
}
else {
    k = 5
}
l = 3
if(l >= 5) {
    q = 0
}
else if(l <= 1) {
    j = 4
}
for(int i=0; i<3; i++) {
    y = 4
}
for(int i=0; i<0; i++) {
    c = 4
}
for(int i=0; i<3; i++) {
    s = 2
}
END","[1, 1, 0, 0, 0, 1, 0, 1]"
"u = 4
r = 1
f = 4
if(f == 3) {
    p = 4
}
else if(f >= 3) {
    l = 2
}
l = 3
o = 0
END","[0, 1]"
"x = 2
y = 0
if(y >= 5) {
    b = 3
}
else {
    p = 3
}
v = 3
for(int i=0; i<3; i++) {
    r = 4
}
for(int i=0; i<2; i++) {
    j = 4
}
j = 1
if(j == 1) {
    o = 3
}
else if(j >= 4) {
    g = 4
}
else {
    e = 2
}
for(int i=0; i<3; i++) {
    s = 3
}
END","[0, 1, 1, 1, 0, 1]"
"k = 3
i = 0
for(int i=0; i<0; i++) {
    k = 4
}
END",[0]
"for(int i=0; i<0; i++) {
    i = 1
}
for(int i=0; i<1; i++) {
    p = 4
}
i = 3
l = 1
END","[0, 1]"
"l = 3
y = 5
l = 4
if(l <= 3) {
    l = 0
}
else if(l > 0) {
    g = 1
}
else {
    o = 3
}
x = 0
z = 4
r = 4
if(r == 1) {
    u = 2
}
END","[0, 1, 0]"
"p = 2
if(p == 1) {
    t = 1
}
else if(p <= 2) {
    v = 1
}
else if(p > 2) {
    z = 4
}
else {
    o = 5
}
for(int i=0; i<0; i++) {
    o = 4
}
o = 0
if(o <= 5) {
    i = 2
}
else {
    t = 1
}
f = 2
k = 3
if(k >= 4) {
    c = 3
}
else {
    e = 3
}
END","[0, 1, 0, 0, 1, 0]"
"o = 2
p = 4
if(p > 0) {
    t = 3
}
else if(p >= 0) {
    a = 2
}
z = 1
if(z == 3) {
    h = 1
}
else if(z > 5) {
    n = 5
}
else if(z <= 5) {
    t = 4
}
for(int i=0; i<2; i++) {
    l = 4
}
q = 0
o = 2
END","[1, 1, 0, 0, 1, 1]"
"r = 4
if(r >= 4) {
    u = 3
}
else if(r == 2) {
    u = 1
}
x = 3
a = 3
p = 5
s = 2
END","[1, 0]"
"a = 0
if(a > 1) {
    e = 0
}
else if(a < 5) {
    g = 1
}
e = 3
if(e > 0) {
    e = 1
}
else if(e >= 0) {
    o = 4
}
else if(e == 2) {
    x = 0
}
else {
    g = 0
}
e = 2
if(e == 3) {
    i = 5
}
else if(e == 1) {
    b = 5
}
else {
    r = 3
}
h = 2
if(h > 0) {
    i = 4
}
else if(h > 4) {
    t = 2
}
for(int i=0; i<2; i++) {
    l = 0
}
for(int i=0; i<2; i++) {
    b = 1
}
m = 5
if(m == 0) {
    n = 3
}
END","[0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0]"
"t = 3
m = 0
v = 0
m = 0
x = 2
END",[]
"c = 1
for(int i=0; i<0; i++) {
    x = 1
}
i = 2
END",[0]
"c = 2
h = 4
if(h > 0) {
    s = 1
}
else if(h >= 3) {
    o = 3
}
else if(h <= 1) {
    q = 5
}
a = 3
for(int i=0; i<0; i++) {
    w = 4
}
e = 0
for(int i=0; i<3; i++) {
    p = 4
}
END","[1, 1, 0, 0, 1]"
"h = 0
if(h < 1) {
    x = 0
}
else if(h == 1) {
    y = 2
}
else if(h > 3) {
    n = 1
}
g = 4
if(g < 1) {
    z = 0
}
else {
    f = 5
}
p = 1
l = 4
END","[1, 0, 0, 0]"
"for(int i=0; i<3; i++) {
    u = 1
}
q = 1
if(q <= 5) {
    f = 3
}
else if(q <= 2) {
    c = 0
}
t = 3
END","[1, 1, 1]"
"t = 2
for(int i=0; i<3; i++) {
    s = 2
}
w = 2
for(int i=0; i<1; i++) {
    h = 0
}
for(int i=0; i<2; i++) {
    w = 3
}
for(int i=0; i<3; i++) {
    j = 0
}
END","[1, 1, 1, 1]"
"for(int i=0; i<1; i++) {
    x = 3
}
for(int i=0; i<2; i++) {
    r = 2
}
c = 0
if(c < 3) {
    r = 4
}
l = 5
j = 0
w = 5
y = 0
END","[1, 1, 1]"
"u = 2
if(u == 0) {
    m = 5
}
else if(u > 2) {
    m = 5
}
for(int i=0; i<2; i++) {
    l = 5
}
w = 5
f = 2
if(f > 3) {
    n = 5
}
else if(f > 0) {
    m = 3
}
else {
    k = 4
}
r = 1
a = 1
g = 0
END","[0, 0, 1, 0, 1]"
"f = 0
t = 2
if(t <= 3) {
    o = 5
}
else if(t < 2) {
    q = 2
}
else if(t >= 3) {
    p = 2
}
g = 2
z = 4
if(z == 2) {
    z = 3
}
else if(z < 5) {
    y = 1
}
else {
    z = 4
}
for(int i=0; i<3; i++) {
    d = 1
}
END","[1, 0, 0, 0, 1, 1]"
"r = 0
for(int i=0; i<0; i++) {
    h = 4
}
for(int i=0; i<2; i++) {
    q = 3
}
m = 1
k = 5
if(k <= 2) {
    o = 1
}
else if(k < 5) {
    x = 4
}
END","[0, 1, 0, 0]"
"for(int i=0; i<1; i++) {
    z = 5
}
y = 3
u = 5
if(u == 4) {
    s = 1
}
else if(u <= 3) {
    a = 5
}
else if(u == 4) {
    x = 4
}
END","[1, 0, 0, 0]"
"c = 5
o = 2
if(o == 1) {
    d = 1
}
else if(o <= 5) {
    j = 3
}
else if(o == 4) {
    u = 5
}
y = 0
if(y > 5) {
    h = 1
}
else {
    u = 2
}
END","[0, 1, 0, 0]"
"for(int i=0; i<0; i++) {
    k = 1
}
s = 5
k = 5
END",[0]
"v = 2
y = 2
for(int i=0; i<1; i++) {
    c = 1
}
END",[1]
"d = 5
u = 4
y = 1
s = 1
END",[]
